Experience,Domain,Project_count,Education,Project_score,Cert_score,Skill_score,Final_score
2.0,Machine Learning,9.0,5,5.26158,4,4.358898943540674,41.1514181055929
2.0,Cybersecurity,3.0,3,3.46158,0,3.605551275463989,28.349042537205158
6.0,Data Science,5.0,3,4.06158,0,5.0990195135927845,38.79795767479429
4.0,Software Engineering,8.0,3,4.96158,0,5.744562646538029,41.41732732901094
9.0,Machine Learning,3.0,4,3.46158,4,6.164414002968976,46.22543917034665
2.0,Data Science,6.0,3,4.36158,0,6.0,38.240320457871206
2.0,Cybersecurity,2.0,3,3.16158,0,4.58257569495584,30.32184015286716
8.0,Cybersecurity,4.0,4,3.76158,0,4.58257569495584,40.41715399802306
6.0,Data Science,6.0,3,4.36158,0,4.242640687119285,37.183315956577225
1.0,Machine Learning,10.0,4,5.56158,0,5.385164807134504,41.08571073360145
10.0,Cybersecurity,9.0,4,5.26158,0,3.872983346207417,45.028899299133755
5.0,Software Engineering,10.0,5,5.56158,0,5.744562646538029,48.31264117416685
2.0,Machine Learning,10.0,5,5.56158,4,6.164414002968976,47.43903762839232
8.0,Machine Learning,10.0,3,5.56158,0,4.242640687119285,42.97394364688904
6.0,Data Science,9.0,3,5.26158,0,5.0990195135927845,42.50858536510611
1.0,Software Engineering,10.0,4,5.56158,0,4.898979485566356,39.64239120725695
4.0,Data Science,8.0,3,4.96158,0,5.0990195135927845,39.50092844252815
1.0,Data Science,7.0,4,4.66158,0,4.0,34.19065487268936
6.0,Data Science,0.0,3,2.56158,0,4.242640687119285,31.617374421109513
3.0,Software Engineering,8.0,3,4.96158,0,4.0,35.19831179526732
0.0,Cybersecurity,7.0,3,4.66158,0,3.741657386773941,30.383723166579085
6.0,Data Science,8.0,3,4.96158,0,6.0,44.25563430302712
1.0,Data Science,1.0,5,2.86158,0,6.0,36.562035844981445
5.0,Software Engineering,5.0,4,4.06158,0,4.0,36.495341027533456
10.0,Cybersecurity,5.0,4,4.06158,0,4.58257569495584,43.42481092060101
1.0,Cybersecurity,10.0,4,5.56158,0,4.58257569495584,38.70309553349078
2.0,Cybersecurity,4.0,3,3.76158,0,4.58257569495584,32.177153998023066
2.0,Data Science,7.0,3,4.66158,0,5.291502622129181,37.06468866628855
9.0,Machine Learning,0.0,4,2.56158,0,5.291502622129181,39.851090208242894
0.0,Software Engineering,8.0,3,4.96158,0,5.744562646538029,37.25732732901094
5.0,Data Science,8.0,4,4.96158,0,4.242640687119285,39.99862980173314
5.0,Cybersecurity,3.0,4,3.46158,0,4.58257569495584,36.36949707544511
5.0,Data Science,10.0,3,5.56158,0,4.242640687119285,39.85394364688904
8.0,Cybersecurity,2.0,3,3.16158,0,3.872983346207417,34.45530084108809
3.0,Software Engineering,4.0,5,3.76158,0,5.0,38.45634535883541
3.0,Data Science,10.0,4,5.56158,0,4.242640687119285,39.773943646889045
9.0,Data Science,0.0,3,2.56158,0,5.291502622129181,37.851090208242894
4.0,Cybersecurity,9.0,4,5.26158,0,4.58257569495584,40.895438610912834
7.0,Software Engineering,0.0,3,2.56158,0,4.898979485566356,34.60582198147742
0.0,Cybersecurity,5.0,5,4.06158,0,4.58257569495584,35.02481092060101
7.0,Software Engineering,5.0,4,4.06158,0,4.0,38.57534102753346
1.0,Data Science,9.0,3,5.26158,0,6.0,39.98329122560507
5.0,Machine Learning,4.0,5,3.76158,0,4.47213595499958,38.969295821126344
2.0,Cybersecurity,1.0,3,2.86158,0,3.605551275463989,26.493728692049253
7.0,Cybersecurity,0.0,4,2.56158,0,3.872983346207417,33.55998699593218
10.0,Software Engineering,4.0,3,3.76158,0,5.744562646538029,43.94669963869912
2.0,Machine Learning,6.0,4,4.36158,0,4.47213595499958,35.704609666282245
7.0,Software Engineering,8.0,4,4.96158,0,4.0,41.35831179526732
4.0,Cybersecurity,0.0,3,2.56158,0,4.58257569495584,30.546526307711254
0.0,Data Science,8.0,3,4.96158,0,4.242640687119285,32.798629801733135
0.0,Software Engineering,8.0,3,4.96158,0,4.242640687119285,32.798629801733135
8.0,Data Science,0.0,4,2.56158,0,6.0,40.9143789224035
7.0,Machine Learning,8.0,3,4.96158,0,5.291502622129181,43.192345588866516
3.0,Cybersecurity,9.0,4,5.26158,0,2.449489742783178,33.52302899350234
1.0,Data Science,10.0,4,5.56158,0,6.0,42.910948148183024
6.0,Cybersecurity,10.0,4,5.56158,0,4.58257569495584,43.903095533490784
0.0,Cybersecurity,7.0,4,4.66158,0,4.58257569495584,34.88012476575692
3.0,Software Engineering,9.0,3,5.26158,0,4.898979485566356,38.794734284678995
1.0,Data Science,3.0,4,3.46158,0,4.242640687119285,31.20034518884337
2.0,Cybersecurity,7.0,4,4.66158,0,3.872983346207417,34.85358545397784
1.0,Cybersecurity,6.0,4,4.36158,0,2.8284271247461903,29.78499494924876
0.0,Software Engineering,0.0,4,2.56158,0,5.744562646538029,31.836071948387318
9.0,Data Science,5.0,5,4.06158,0,6.0,48.592663535293255
0.0,Data Science,3.0,3,3.46158,0,5.291502622129181,31.274060975976745
8.0,Machine Learning,9.0,3,5.26158,4,4.47213595499958,43.72758043401611
